    year specfp_normalized
    2002 2.099357
    2002 2.116854
    2002 2.116854
    2002 2.224301
    2002 2.229847
    2002 2.229847
    2002 2.240365
    2002 2.240365
    2002 2.240365
    2002 2.240365
    2002 2.240405
    2002 2.379057
    2002 2.379057
    2002 2.379641
    2002 2.388657
    2002 2.414860
    2002 2.476428
    2002 2.591403
    2002 2.591403
    2002 2.670969
    2002 2.736296
    2002 2.736296
    2002 2.825706
    2002 3.098910
    2002 3.283878
    2002 3.297227
    2002 3.307061
    2002 3.354539
    2002 3.373215
    2002 3.397626
    2002 3.422549
    2002 3.470171
    2002 3.475825
    2002 3.530168
    2002 3.588843
    2002 3.590153
    2002 3.604523
    2002 3.627982
    2002 3.707782
    2002 3.711162
    2002 3.805611
    2002 3.831500
    2002 3.834219
    2002 3.859836
    2002 3.897825
    2002 3.956770
    2002 3.965845
    2002 4.026154
    2002 4.045681
    2002 4.051684
    2002 4.111610
    2002 4.146073
    2002 4.162352
    2002 4.207695
    2002 4.212332
    2002 4.229724
    2002 4.229724
    2002 4.229724
    2002 4.262527
    2002 4.325663
    2002 4.334755
    2002 4.336597
    2002 4.368608
    2002 4.378106
    2002 4.382277
    2002 4.409309
    2002 4.412877
    2002 4.427970
    2002 4.470504
    2002 4.519190
    2002 4.543953
    2002 4.555044
    2002 4.562461
    2002 4.594856
    2002 4.601038
    2002 4.616552
    2002 4.647531
    2002 4.718131
    2002 4.758193
    2002 4.770301
    2002 4.770301
    2002 4.822982
    2002 4.842212
    2002 4.857536
    2002 4.859035
    2002 4.873028
    2002 4.939208
    2002 4.955331
    2002 4.969665
    2002 4.972954
    2002 5.082083
    2002 5.086410
    2002 5.179628
    2002 5.204239
    2002 5.221907
    2002 5.285039
    2002 5.297138
    2002 5.313139
    2002 5.385703
    2002 5.465060
    2002 5.502158
    2002 5.508163
    2002 5.538249
    2002 5.610653
    2002 5.615053
    2002 5.718102
    2002 5.727534
    2002 5.760403
    2002 5.767316
    2002 5.795764
    2002 5.838217
    2002 5.853440
    2002 5.869685
    2002 5.932222
    2002 5.945702
    2002 5.995961
    2002 6.098476
    2002 6.149578
    2002 6.184396
    2002 6.445636
    2002 6.513441
    2002 6.517336
    2002 6.648122
    2002 6.669412
    2002 6.794337
    2002 6.911078
    2002 7.126681
    2002 7.349667
    2002 7.675253
    2002 7.680247
    2002 8.053238
    2002 8.077606
    2002 8.099004
    2003 10.018599
    2003 10.235200
    2003 10.266438
    2003 10.284044
    2003 10.362281
    2003 10.461449
    2003 10.612925
    2003 11.285384
    2003 11.535303
